mets,rxn1,rxn2,type,maxCosine,cosines,formula1,formula2
amp[c],RC00235,RCC0056,P/P,0,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + coa[c] + ttdca[c]  -> amp[c] + ppi[c] + tdcoa[c] 
amp[c],RC00235,RC03595,P/P,0,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + h2o[c] + seln[c]  -> amp[c] + pi[c] + selnp[c] 
amp[c],RC00235,RC02918,P/P,0,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + tyr-L[c] + trnatyr[c]  -> amp[c] + ppi[c] + tyrtrna[c] 
amp[c],RC00235,RC03659,P/P,0.0281605775260118,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + met-L[c] + trnamet[c]  -> amp[c] + ppi[c] + mettrna[c] 
amp[c],RC00235,RC05577,P/P,-0.00349687142097274,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + asp-L[c] + trnaasp[c]  -> amp[c] + ppi[c] + asptrna[c] 
amp[c],RC00235,RC03650,P/P,0.00203407651007921,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + cys-L[c] + trnacys[c]  -> amp[c] + ppi[c] + cystrna[c] 
amp[c],RC00235,RC05578,P/P,0.0170709900834068,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + glu-L[c] + trnaglu[c]  -> amp[c] + ppi[c] + glutrna[c] 
amp[c],RC00235,RC03652,P/P,0.02497982843191,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + gln-L[c] + trnagln[c]  -> amp[c] + ppi[c] + glntrna[c] 
amp[c],RC00235,RC03664,P/P,0.0484194558597587,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + trp-L[c] + trnatrp[c]  -> amp[c] + ppi[c] + trptrna[c] 
amp[c],RC00235,RC03660,P/P,0.0135274073576664,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + phe-L[c] + trnaphe[c]  -> amp[c] + ppi[c] + phetrna[c] 
amp[c],RC00235,RC03655,P/P,0.0277197091457446,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + his-L[c] + trnahis[c]  -> amp[c] + ppi[c] + histrna[c] 
amp[c],RC00235,RC03663,P/P,0.0306665913252476,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + thr-L[c] + trnathr[c]  -> amp[c] + ppi[c] + thrtrna[c] 
amp[c],RC00235,RC03658,P/P,0.0500722742354794,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + lys-L[c] + trnalys[c]  -> amp[c] + ppi[c] + lystrna[c] 
amp[c],RC00235,RC03038,P/P,0.00359210790387317,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + ala-L[c] + trnaala[c]  -> amp[c] + ppi[c] + alatrna[c] 
amp[c],RC00235,RC03665,P/P,-0.0163134587569699,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + trnaval[c] + val-L[c]  -> amp[c] + ppi[c] + valtrna[c] 
amp[c],RC00235,RCC0101,P/P,0,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + coa[c] + fa15p0iso[c]  -> amp[c] + ppi[c] + fa15p0isocoa[c] 
amp[c],RC00235,RCC0102,P/P,0,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + coa[c] + fa17p0iso[c]  -> amp[c] + ppi[c] + fa17p0isocoa[c] 
amp[c],RC00235,RCC0127,P/P,0,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + coa[c] + Rtotal6[c]  -> amp[c] + ppi[c] + Rtotal6coa[c] 
amp[c],RC00235,RCC0128,P/P,0,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + coa[c] + Rtotal[c]  -> amp[c] + ppi[c] + Rtotalcoa[c] 
amp[c],RC00235,RCC0129,P/P,0,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + coa[c] + Rtotal3[c]  -> amp[c] + ppi[c] + Rtotal3coa[c] 
amp[c],RC00235,RCC0130,P/P,0,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + coa[c] + vacc[c]  -> amp[c] + ppi[c] + vacccoa[c] 
amp[c],RC00235,RCC0142,P/P,0.00195799804792164,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,2 atp[c] + h2o[c] + 2 cys-L[c] + 2 trdrd[c] + cpmp[c]  -> 4 h[c] + 2 amp[c] + 2 ppi[c] + 2 ala-L[c] + 2 trdox[c] + molybd[c] 
amp[c],RC00235,RCC0143,P/P,0,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + 2 h[c] + molybd[c] + mobd[c]  -> amp[c] + h2o[c] + ppi[c] + moco[c] 
amp[c],RC00235,RCC0147,P/P,0,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + coa[c] + fa16p1n7[c]  -> amp[c] + ppi[c] + fa16p1n7coa[c] 
amp[c],RC00235,RCC0148,P/P,0,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + coa[c] + fa17c9[c]  -> amp[c] + ppi[c] + fa17c9coa[c] 
amp[c],RC00235,RCC0149,P/P,0,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + coa[c] + fa19c11[c]  -> amp[c] + ppi[c] + fa19c11coa[c] 
