"","RNAiID","batchID","RNAi_geneName","RNAi_WBID","isICEL","isMetabolic","isValidRNAi","isHighConfiRNAi","WT_TPM","N_DE","isResponsive","N_DE_targetExcluded"
"117786","x.mlcd_1 met1_lib1","met1_lib1","mlcd-1","WBGene00009439",TRUE,TRUE,TRUE,FALSE,13.2422091263114,0,FALSE,0
"117787","x.nac_2 met1_lib1","met1_lib1","nac-2","WBGene00003518",FALSE,FALSE,TRUE,FALSE,3.36256811851475,0,FALSE,0
"117788","x.decr_1.2 met1_lib2","met1_lib2","decr-1.2","WBGene00012177",TRUE,TRUE,TRUE,FALSE,0.0863513850284065,0,FALSE,0
"117789","x.nmad_1 met1_lib2","met1_lib2","nmad-1","WBGene00017304",FALSE,FALSE,TRUE,FALSE,16.2779980173909,0,FALSE,0
"117790","x.F54C8.1 met1_lib2","met1_lib2","F54C8.1","WBGene00010035",TRUE,TRUE,TRUE,FALSE,0.528013155459586,0,FALSE,0
"117791","x.T05E7.1 met1_lib3","met1_lib3","T05E7.1","WBGene00020258",TRUE,TRUE,TRUE,FALSE,3.63146922189937,0,FALSE,0
"117792","x.acl_13 met1_lib3","met1_lib3","acl-13","WBGene00008581",TRUE,TRUE,TRUE,FALSE,0.196565210249056,0,FALSE,0
"117793","x.elo_4 met1_lib3","met1_lib3","elo-4","WBGene00001242",TRUE,TRUE,TRUE,FALSE,0.798207788525702,0,FALSE,0
"117794","x.ckb_2 met1_lib3","met1_lib3","ckb-2","WBGene00000512",TRUE,TRUE,TRUE,FALSE,7.89193607347914,0,FALSE,0
"117795","x.ckb_1 met1_lib3","met1_lib3","ckb-1","WBGene00000511",TRUE,TRUE,TRUE,FALSE,2.03138948655064,0,FALSE,0
"117796","x.cgt_1 met1_lib3","met1_lib3","cgt-1","WBGene00011517",TRUE,TRUE,TRUE,FALSE,0.868582534143525,0,FALSE,0
"117797","x.acdh_8 met1_lib4","met1_lib4","acdh-8","WBGene00019406",TRUE,TRUE,TRUE,FALSE,0.905670541599521,0,FALSE,0
"117798","x.decr_1.3 met1_lib4","met1_lib4","decr-1.3","WBGene00011467",TRUE,TRUE,TRUE,FALSE,0.171137183276222,0,FALSE,0
"117799","x.VECTORLIKE_art_1 met1_lib4","met1_lib4","VECTORLIKE-art-1",NA,FALSE,FALSE,FALSE,FALSE,NA,0,FALSE,0
"117800","x.B0395.3 met1_lib4","met1_lib4","B0395.3","WBGene00007175",TRUE,TRUE,TRUE,FALSE,7.1737415171637,0,FALSE,0
"117801","x.elo_9 met1_lib5","met1_lib5","elo-9","WBGene00001247",TRUE,TRUE,TRUE,FALSE,0.191977776139799,0,FALSE,0
"117802","x.acs_18 met1_lib5","met1_lib5","acs-18","WBGene00011173",TRUE,TRUE,TRUE,FALSE,0.0473275822171839,0,FALSE,0
"117803","x.SHORT_mecr_1 met1_lib5","met1_lib5","SHORT-mecr-1",NA,FALSE,FALSE,FALSE,FALSE,NA,0,FALSE,0
"117804","x.elo_8 met1_lib5","met1_lib5","elo-8","WBGene00001246",FALSE,TRUE,TRUE,FALSE,0.113131615227617,0,FALSE,0
"117805","x.C03A7.13 met1_lib5","met1_lib5","C03A7.13","WBGene00015371",TRUE,TRUE,TRUE,FALSE,0.579259482962897,0,FALSE,0
"117806","x.strm_1 met1_lib5","met1_lib5","strm-1","WBGene00019198",FALSE,TRUE,TRUE,FALSE,1.38651345083493,0,FALSE,0
"117807","x.slx_1 met1_lib5","met1_lib5","slx-1","WBGene00018909",FALSE,FALSE,TRUE,FALSE,19.3651685110995,0,FALSE,0
"117808","x.ace_4 met1_lib6","met1_lib6","ace-4","WBGene00000038",TRUE,TRUE,TRUE,FALSE,0.153201007465472,0,FALSE,0
"117809","x.F13H10.5 met1_lib6","met1_lib6","F13H10.5","WBGene00008776",TRUE,TRUE,TRUE,FALSE,0.235906483385927,0,FALSE,0
"117810","x.C37H5.13 met1_lib6","met1_lib6","C37H5.13","WBGene00016511",TRUE,TRUE,TRUE,FALSE,6.83315987795295,0,FALSE,0
"117811","x.MULTIPLE_srd_18_19_20 met1_lib6","met1_lib6","MULTIPLE-srd-18-19-20",NA,FALSE,FALSE,FALSE,FALSE,NA,0,FALSE,0
"117812","x.mmcm_1 met1_lib6","met1_lib6","mmcm-1","WBGene00014202",TRUE,TRUE,TRUE,FALSE,110.94731678269,0,FALSE,0
"117813","x.ceh_48 met2_lib1","met2_lib1","ceh-48","WBGene00015934",FALSE,FALSE,TRUE,FALSE,0.260963354753712,0,FALSE,0
"117814","x.F55A4.3 met2_lib1","met2_lib1","F55A4.3","WBGene00018855",FALSE,FALSE,TRUE,FALSE,0.372919259591442,0,FALSE,0
"117815","x.lagr_1 met2_lib1","met2_lib1","lagr-1","WBGene00006505",TRUE,TRUE,TRUE,FALSE,0.232122116787273,0,FALSE,0
"117816","x.cgt_2 met2_lib2","met2_lib2","cgt-2","WBGene00017625",TRUE,TRUE,TRUE,FALSE,3.22375711441901,0,FALSE,0
"117817","x.NOSIGNAL_hpo_13 met2_lib2","met2_lib2","NOSIGNAL-hpo-13",NA,FALSE,FALSE,FALSE,FALSE,NA,0,FALSE,0
"117818","x.ipla_5 met2_lib2","met2_lib2","ipla-5","WBGene00019229",TRUE,TRUE,TRUE,FALSE,0.0101064611988538,0,FALSE,0
"117819","x.sptl_2 met2_lib2","met2_lib2","sptl-2","WBGene00018398",TRUE,TRUE,TRUE,FALSE,4.21862651084121,0,FALSE,0
"117820","x.T28F3.5 met2_lib2","met2_lib2","T28F3.5","WBGene00012131",TRUE,TRUE,TRUE,FALSE,0.442272640678883,0,FALSE,0
"117821","x.sms_5 met2_lib3","met2_lib3","sms-5","WBGene00021075",TRUE,TRUE,TRUE,FALSE,0.419948093018366,0,FALSE,0
"117822","x.ctb_1 met2_lib3","met2_lib3","ctb-1","WBGene00000829",TRUE,TRUE,TRUE,FALSE,1565.21468584428,0,FALSE,0
"117823","x.gba_1 met2_lib3","met2_lib3","gba-1","WBGene00016335",TRUE,TRUE,TRUE,FALSE,2.79201898002167,0,FALSE,0
"117824","x.R08B4.3 met2_lib3","met2_lib3","R08B4.3","WBGene00011139",FALSE,FALSE,TRUE,FALSE,19.0235610442788,0,FALSE,0
"117825","x.asm_2 met2_lib3","met2_lib3","asm-2","WBGene00000212",TRUE,TRUE,TRUE,FALSE,0.850032166133877,0,FALSE,0
"117826","x.C29E4.10 met2_lib3","met2_lib3","C29E4.10","WBGene00016207",TRUE,TRUE,TRUE,FALSE,0.236150605538696,0,FALSE,0
"117827","x.C17C3.1 met2_lib4","met2_lib4","C17C3.1","WBGene00015887",TRUE,TRUE,TRUE,FALSE,15.2143201341141,0,FALSE,0
"117828","x.dgk_5 met2_lib4","met2_lib4","dgk-5","WBGene00019428",TRUE,TRUE,TRUE,FALSE,1.0480114894361,0,FALSE,0
"117829","x.mboa_3 met2_lib4","met2_lib4","mboa-3","WBGene00016934",TRUE,TRUE,TRUE,FALSE,14.087910521957,0,FALSE,0
"117830","x.C17C3.3 met2_lib4","met2_lib4","C17C3.3","WBGene00015889",TRUE,TRUE,TRUE,FALSE,0.022978139468652,0,FALSE,0
"117831","x.R08F11.1 met2_lib4","met2_lib4","R08F11.1","WBGene00019965",TRUE,TRUE,TRUE,FALSE,0.73239220050869,0,FALSE,0
"117832","x.pld_1 met2_lib5","met2_lib5","pld-1","WBGene00004040",TRUE,TRUE,TRUE,FALSE,31.1775554207208,0,FALSE,0
"117833","x.VECTORLIKE_acl_8 met2_lib5","met2_lib5","VECTORLIKE-acl-8",NA,FALSE,FALSE,FALSE,FALSE,NA,0,FALSE,0
"117834","x.acs_2 met2_lib5","met2_lib5","acs-2","WBGene00009221",TRUE,TRUE,TRUE,FALSE,50.3642061121993,0,FALSE,0
"117835","x.unc_17 met2_lib5","met2_lib5","unc-17","WBGene00006756",TRUE,FALSE,TRUE,FALSE,1.13099767016947,0,FALSE,0
"117836","x.VECTORLIKE_ech_1.1 met2_lib6","met2_lib6","VECTORLIKE-ech-1.1",NA,FALSE,FALSE,FALSE,FALSE,NA,0,FALSE,0
"117837","x.ipla_4 met2_lib6","met2_lib6","ipla-4","WBGene00017026",TRUE,TRUE,TRUE,FALSE,0.0863483141772498,0,FALSE,0
"117838","x.VECTORLIKE_ech_1.2 met2_lib6","met2_lib6","VECTORLIKE-ech-1.2",NA,FALSE,FALSE,FALSE,FALSE,NA,0,FALSE,0
"117839","x.ace_2 met2_lib6","met2_lib6","ace-2","WBGene00000036",TRUE,TRUE,TRUE,FALSE,4.59745781990849,0,FALSE,0
"117840","x.F10D2.8 met2_lib6","met2_lib6","F10D2.8","WBGene00017334",TRUE,TRUE,TRUE,FALSE,0.127603320884072,0,FALSE,0
"117841","x.T22G5.1 met2_lib6","met2_lib6","T22G5.1","WBGene00011929",TRUE,TRUE,TRUE,FALSE,0.201367067809998,0,FALSE,0
"117842","x.K10C2.2 met3_lib1","met3_lib1","K10C2.2","WBGene00019618",FALSE,FALSE,TRUE,FALSE,0.0647445257982694,0,FALSE,0
"117843","x.cat_2 met3_lib1","met3_lib1","cat-2","WBGene00000296",TRUE,TRUE,TRUE,FALSE,0.0526972191028095,0,FALSE,0
"117844","x.VECTORLIKE_iscu_1 met3_lib1","met3_lib1","VECTORLIKE-iscu-1",NA,FALSE,FALSE,FALSE,FALSE,NA,0,FALSE,0
"117845","x.alh_6 met3_lib1","met3_lib1","alh-6","WBGene00000112",TRUE,TRUE,TRUE,FALSE,57.0852133561058,0,FALSE,0
"117846","x.acsd_1 met3_lib2","met3_lib2","acsd-1","WBGene00022104",TRUE,TRUE,TRUE,FALSE,2.16661401472632,0,FALSE,0
"117847","x.VECTORLIKE_gln_1 met3_lib2","met3_lib2","VECTORLIKE-gln-1",NA,FALSE,FALSE,FALSE,FALSE,NA,0,FALSE,0
"117848","x.VECTORLIKE_tyr_2 met3_lib2","met3_lib2","VECTORLIKE-tyr-2",NA,FALSE,FALSE,FALSE,FALSE,NA,0,FALSE,0
"117849","x.ech_5 met3_lib2","met3_lib2","ech-5","WBGene00001154",TRUE,TRUE,TRUE,FALSE,6.12798216280777,0,FALSE,0
"117850","x.gpx_3 met3_lib3","met3_lib3","gpx-3","WBGene00007517",TRUE,TRUE,TRUE,FALSE,2.20324990390452,0,FALSE,0
"117851","x.RCBVECTOR_T01D1.4 met3_lib3","met3_lib3","RCBVECTOR-T01D1.4",NA,FALSE,FALSE,FALSE,FALSE,NA,0,FALSE,0
"117852","x.Y53G8B.1 met3_lib3","met3_lib3","Y53G8B.1","WBGene00021817",TRUE,TRUE,TRUE,FALSE,4.23568360715966,0,FALSE,0
"117853","x.kmo_1 met3_lib3","met3_lib3","kmo-1","WBGene00011089",TRUE,TRUE,TRUE,FALSE,6.41577836703269,0,FALSE,0
"117854","x.gst_42 met3_lib3","met3_lib3","gst-42","WBGene00001790",TRUE,TRUE,TRUE,FALSE,7.46557839204962,0,FALSE,0
"117855","x.VECTORLIKE_ddo_2 met3_lib3","met3_lib3","VECTORLIKE-ddo-2",NA,FALSE,FALSE,FALSE,FALSE,NA,0,FALSE,0
"117856","x.amx_2 met3_lib4","met3_lib4","amx-2","WBGene00000138",TRUE,TRUE,TRUE,FALSE,3.23603631582532,0,FALSE,0
"117857","x.T25B9.1 met3_lib4","met3_lib4","T25B9.1","WBGene00012007",TRUE,TRUE,TRUE,FALSE,2.48679356958008,0,FALSE,0
"117858","x.pstk_1 met3_lib4","met3_lib4","pstk-1","WBGene00013041",TRUE,TRUE,TRUE,FALSE,0.630760335918176,0,FALSE,0
"117859","x.F01D4.8 met3_lib5","met3_lib5","F01D4.8","WBGene00008490",TRUE,TRUE,TRUE,FALSE,0.70800401619562,0,FALSE,0
"117860","x.C01G10.9 met3_lib5","met3_lib5","C01G10.9","WBGene00007236",TRUE,TRUE,TRUE,FALSE,2.09053748615108,0,FALSE,0
"117861","x.mett_10 met3_lib5","met3_lib5","mett-10","WBGene00014228",TRUE,TRUE,TRUE,FALSE,6.00043376906565,0,FALSE,0
"117862","x.kmo_2 met3_lib5","met3_lib5","kmo-2","WBGene00011088",TRUE,TRUE,TRUE,FALSE,0.570181236757036,0,FALSE,0
"117863","x.cpin_1 met3_lib6","met3_lib6","cpin-1","WBGene00000775",TRUE,TRUE,TRUE,FALSE,1.62068836281569,0,FALSE,0
"117864","x.K01C8.1 met3_lib6","met3_lib6","K01C8.1","WBGene00010456",TRUE,TRUE,TRUE,FALSE,4.31602535356562,0,FALSE,0
"117865","x.nsun_5 met3_lib6","met3_lib6","nsun-5","WBGene00013151",TRUE,TRUE,TRUE,FALSE,5.27404524901847,0,FALSE,0
"117866","x.gst_43 met3_lib6","met3_lib6","gst-43","WBGene00001791",TRUE,TRUE,TRUE,FALSE,3.21434440183102,0,FALSE,0
"117867","x.VECTORLIKE_daao_1 met3_lib6","met3_lib6","VECTORLIKE-daao-1",NA,FALSE,FALSE,FALSE,FALSE,NA,0,FALSE,0
"117868","x.pcbd_1 met3_lib6","met3_lib6","pcbd-1","WBGene00020397",TRUE,TRUE,TRUE,FALSE,13.8743892682912,0,FALSE,0
"117869","x.F13H8.9 met3_lib6","met3_lib6","F13H8.9","WBGene00017442",TRUE,TRUE,TRUE,FALSE,1.57846273358193,0,FALSE,0
"117870","x.Y51H4A.7 met3_lib6","met3_lib6","Y51H4A.7","WBGene00013103",TRUE,TRUE,TRUE,FALSE,3.78465284802108,0,FALSE,0
"117871","x.R102.4 met3_lib6","met3_lib6","R102.4","WBGene00011291",TRUE,TRUE,TRUE,FALSE,5.00007208001777,0,FALSE,0
"117872","x.rars_1 met4_lib1","met4_lib1","rars-1","WBGene00004679",TRUE,TRUE,TRUE,FALSE,338.042241187166,0,FALSE,0
"117873","x.MULTIPLE_F54E4.13_F54E4.4 met4_lib1","met4_lib1","MULTIPLE-F54E4.13-F54E4.4",NA,FALSE,FALSE,FALSE,FALSE,NA,0,FALSE,0
"117874","x.pde_5 met4_lib1","met4_lib1","pde-5","WBGene00016328",TRUE,TRUE,TRUE,FALSE,0.0142666056252729,0,FALSE,0
"117875","x.upp_1 met4_lib1","met4_lib1","upp-1","WBGene00022817",TRUE,TRUE,TRUE,FALSE,111.636981050551,0,FALSE,0
"117876","x.dhp_1 met4_lib2","met4_lib2","dhp-1","WBGene00000963",TRUE,TRUE,TRUE,FALSE,1.1142941900194,0,FALSE,0
