	BIGG	CPD	FORMULA	MW
EX02415	Nlys[e] -->	Nlys	XC6H13N2O	1129.1817
EX02188	peplys[e] -->	peplys	XC6H13N2O	1129.1817
SNK0036	Nmelys -->	Nmelys	XC7H15N2O	1143.2085
SNK0056	Ndmelys -->	Ndmelys	XC8H17N2O	1157.2353
SNK0070	Naclys -->	Naclys	XC8H14N2O2	1170.2106
EX03272	gbside[e] -->	gbside	C63.5654H112.5778N2.0O23.0	1272.94218402
EX00853	cbl1[e] -->	cbl1	C62H88CoN13O14P	1329.3612
EXC0063	clpn_BAC[e] -->	clpn_BAC	C75.342H140.5744O17.0P2.0	1380.54869976
EX00194	adocbl[e] -->	adocbl	C72H100CoN18O17P	1579.598
EXC0057	outerlps_BAC[e] -->	outerlps_BAC	C61H101N2O49	1646.4339
EX00012	pepd[e] -->	pepd	C2H4NO2R(C2H2NOR)n	2130.1024
EXC0056	lipa_BAC[e] -->	lipa_BAC	C110H196N2O39P2	2232.6814
SNK1002	caphis -->	caphis	C11H15N5O4R2	2281.2705
SNK1003	pdipht -->	pdipht	C14H21N5O4R2	2323.3509
EXC0055	lps_BAC[e] -->	lps_BAC	C171H297N4O88P2	3879.1153
