,WBID,whole_dataset_geTMM,asel_geTMM,aser_geTMM
17326,WBGene00021563,4.487730832,4.263454818,5.754896852
17327,WBGene00021564,3.026803545,3.464073281,3.135628261
17328,WBGene00021565,0.47214219,0.463208273,0.545453963
17329,WBGene00021570,0.216107868,0,0
17330,WBGene00021576,0.257393507,0.279033516,0.41014266
17331,WBGene00021578,0.031699546,0.032526181,0
17332,WBGene00021579,0.786001494,0.998196882,0.70017087
17333,WBGene00021581,0.053632157,0,0.13942311
17334,WBGene00021582,0.191511175,0.119325048,0.239396131
17335,WBGene00021583,0.770979614,0.734697226,0.827097796
17336,WBGene00021585,0.047412778,0,0
17337,WBGene00021587,0.214114814,0.051354425,0.072887218
17338,WBGene00021589,1.890394798,0.319118284,1.277430802
17339,WBGene00021590,0.577418956,0.289610181,0.393878757
17340,WBGene00021591,0.017476933,0,0
17341,WBGene00021594,0.278773674,0,0.253576949
17342,WBGene00021595,3.584767524,5.306490762,1.849963726
17343,WBGene00021596,3.126401415,1.783406868,3.10978424
17344,WBGene00021597,5.188945749,7.540385145,5.122366128
17345,WBGene00021599,5.247936186,2.444243774,4.370798551
17346,WBGene00021600,0.45004188,0.193786709,0.347671539
17347,WBGene00021601,0.108924007,0.147781345,0.229764406
17348,WBGene00021602,0.267515191,0.05120329,0.118827934
17349,WBGene00021603,0.274092688,0.413196141,0.061148267
17350,WBGene00021605,0.107953091,0,0
17351,WBGene00021606,0.583407388,0.52672224,0.507591321
17352,WBGene00021607,0.898495258,0.196177589,0.23220309
17353,WBGene00021608,0.578266237,0.760828495,0.728329338
17354,WBGene00021609,0.110544947,0,0.283464312
17355,WBGene00021610,1.170291594,0.390381179,1.631302373
17356,WBGene00021611,1.530816444,0.497285879,2.998439663
17357,WBGene00021613,2.907258415,0.861185189,2.04145454
17358,WBGene00021614,4.274259623,3.515807132,4.307563727
17359,WBGene00021616,0.067343517,0,0
17360,WBGene00021619,0.188279616,0,0
17361,WBGene00021620,0.165689244,0,0
17362,WBGene00021621,0.091181998,0,0
17363,WBGene00021622,0.01712511,0,0
17364,WBGene00021623,0.079937884,0,0
17365,WBGene00021624,0.674507675,0.750404805,0.446321328
17366,WBGene00021625,3.532562231,3.258057697,3.335136307
17367,WBGene00021626,2.410877697,1.04528187,1.12907285
17368,WBGene00021627,2.440646392,2.52673529,1.696300239
17369,WBGene00021628,4.489150864,4.468340673,4.238030915
17370,WBGene00021629,5.983632854,6.045357072,5.389946669
17371,WBGene00021630,0.530323408,0.417622328,0.554505812
17372,WBGene00021631,0.21106195,0.286179126,0
17373,WBGene00021632,0.201842781,0.290164936,0
17374,WBGene00021633,0.583930143,0.462556288,0.492968209
17375,WBGene00021634,4.567634974,2.370492436,4.387501954
17376,WBGene00021635,0.649063198,0.598312272,0.72720224
17377,WBGene00021636,4.423155966,2.889361272,2.709736992
17378,WBGene00021637,4.352849472,4.724673405,3.516404007
17379,WBGene00021638,3.663042945,3.638967338,3.999497922
17380,WBGene00021639,0.800264336,0.908374112,0.500637941
17381,WBGene00021640,1.085352835,3.714489171,2.621776904
17382,WBGene00021641,4.290510637,2.180919413,3.5183532
17383,WBGene00021643,2.24838252,3.71418614,4.520603071
17384,WBGene00021644,5.423302619,5.479705215,7.176293525
17385,WBGene00021645,1.323110136,1.306030986,1.232861161
