rxns,formula,normalized_OFD_exp_resp_simi,normalized_OFD_exp_resp,normalized_OFD_exp_simi,normalized_OFD_exp_only,normalized_OFD_no_data,OFD_exp_resp_simi,OFD_exp_resp,OFD_exp_simi,OFD_exp_only,OFD_no_data,FVA_PFD_exp_resp_simi_1,FVA_PFD_exp_resp_simi_2,FVA_PFD_exp_resp_1,FVA_PFD_exp_resp_2,FVA_PFD_exp_simi_1,FVA_PFD_exp_simi_2,FVA_PFD_exp_only_1,FVA_PFD_exp_only_2,FVA_PFD_no_data_1,FVA_PFD_no_data_2,PFD_bounded_exp_resp_simi,PFD_bounded_exp_resp,PFD_bounded_exp_simi,PFD_bounded_exp_only,PFD_bounded_no_data,FVA_OFD_exp_resp_simi_1,FVA_OFD_exp_resp_simi_2,FVA_OFD_exp_resp_1,FVA_OFD_exp_resp_2,FVA_OFD_exp_simi_1,FVA_OFD_exp_simi_2,FVA_OFD_exp_only_1,FVA_OFD_exp_only_2,FVA_OFD_no_data_1,FVA_OFD_no_data_2,OFD_bounded_exp_resp_simi,OFD_bounded_exp_resp,OFD_bounded_exp_simi,OFD_bounded_exp_only,OFD_bounded_no_data,related_responsiveness_constraints,related_similarity_constraints
RM04738,3hhdcoa[m]  <=> h2o[m] + hdd2coa[m],0,0,-0,-0,0,0,0,-0,-0,0,-0.00987392809735806,-0,-0.0648434185677998,-0,-0.0250282206939269,-0,-0.82749516152323,-0,-26.1503984315641,-0,0,0,0,0,0,-0.0021355363262548,-0,-0.0646112945726174,-0,-0.0250282206908191,-0,-0.201625922216718,-0,-1.08484911301434,-0,0,0,0,0,0,ND,"ND"
RM04737,nadh[m] + h[m] + 3ohdcoa[m]  <=> nad[m] + 3hhdcoa[m],0,0,-0,-0,0,0,0,-0,-0,0,-0.00987392809735806,-0,-0.0648434185677998,-0,-0.0250282206939269,-0,-0.82749516152323,-0,-26.1503984315641,-0,0,0,0,0,0,-0.0021355363262548,-0,-0.0646112945726174,-0,-0.0250282206908191,-0,-0.201625922216718,-0,-1.08484911301434,-0,0,0,0,0,0,ND,"ND"
RM03991,coa[m] + 3ohdcoa[m]  <=> accoa[m] + tdcoa[m],-0,-0,0,0,0,-0,-0,0,0,0,0,0.00987392809735806,0,0.0648434185677998,0,0.0250282206939269,0,0.82749516152323,0,26.1503984315641,0,0,0,0,0,0,0.0021355363262548,0,0.0646112945726174,0,0.0250282206908191,0,0.201625922216718,0,1.08484911301434,0,0,0,0,0,ND,"ND"
RM03990,etfox[m] + tdcoa[m]  <=> etfrd[m] + td2coa[m],0.0604692059214377,0,0,0.0604765016466151,0,0.0845929284529428,0,0,0.0968398397637862,0,0,0.319408383425759,0,1.89526895714361,0,0.322530006853041,0,13.3672886560286,0,458.238262651696,0,0,0,0,0,0,0.144552069079276,0,1.89379349007037,0,0.322530006814408,0,5.23862119942417,0,22.1996385685718,0,0,0,0,0,ND,"ND"
RM04740,3htdcoa[m]  <=> h2o[m] + td2coa[m],-0.0604692059214377,0,-0,-0.0604765016466151,0,-0.0845929284529428,0,-0,-0.0968398397637862,0,-0.0971425003621351,-0,-0.161347684609011,-0,-0.120572421589179,-0,-1.07824891123876,-0,-31.090941629006,-0,0,0,0,0,0,-0.0885871310026862,-0,-0.161347684608415,-0,-0.120572421588539,-0,-0.338481751045675,-0,-1.32388546571258,-0,0,0,0,0,0,ND,"ND"
RM04739,nadh[m] + h[m] + 3otdcoa[m]  <=> nad[m] + 3htdcoa[m],-0.0604692059214377,0,-0,-0.0604765016466151,0,-0.0845929284529428,0,-0,-0.0968398397637862,0,-0.0971425003621351,-0,-0.161347684609011,-0,-0.120572421589179,-0,-1.07824891123876,-0,-31.090941629006,-0,0,0,0,0,0,-0.0885871310026862,-0,-0.161347684608415,-0,-0.120572421588539,-0,-0.338481751045675,-0,-1.32388546571258,-0,0,0,0,0,0,ND,"ND"
RM03858,coa[m] + 3otdcoa[m]  <=> accoa[m] + ddcacoa[m],0.0604692059214377,-0,0,0.0604765016466151,0,0.0845929284529428,-0,0,0.0968398397637862,0,0,0.0971425003621351,0,0.161347684609011,0,0.120572421589179,0,1.07824891123876,0,31.090941629006,0,0,0,0,0,0,0.0885871310026862,0,0.161347684608415,0,0.120572421588539,0,0.338481751045675,0,1.32388546571258,0,0,0,0,0,ND,"ND"
RM03857,etfox[m] + ddcacoa[m]  <=> etfrd[m] + dd2coa[m],0.0719150829627579,0,0,0.073655615618399,0,0.100605049711746,0,0,0.117943297313528,0,0,0.328989569506786,0,1.89526895714243,0,0.324581871740011,0,13.3957166992808,0,458.525098993906,0,0,0,0,0,0,0.152984688970113,0,1.89379349007032,0,0.324581871697331,-2.27373675443232e-13,5.26308771491676,0,22.2177965875529,0,0,0,0,0,ND,"ND"
RM04170,3hddcoa[m]  <=> h2o[m] + dd2coa[m],-0.0719150829627579,0,-0,-0.073655615618399,0,-0.100605049711746,0,-0,-0.117943297313528,0,-0.115463783776256,-0,-0.179405419420097,-0,-0.143526640597508,-0,-1.10667695448385,-0,-31.3061841230599,-0,0,0,0,0,0,-0.106959536145644,-0,-0.179405419419644,-0,-0.143526640594536,-0,-0.362235342471089,2.27373675443232e-13,-1.35772663878822,-0,0,0,0,0,0,ND,"ND"
RM04741,nadh[m] + h[m] + 3oddcoa[m]  <=> nad[m] + 3hddcoa[m],-0.0719150829627579,0,-0,-0.073655615618399,0,-0.100605049711746,0,-0,-0.117943297313528,0,-0.115463783776256,-0,-0.179405419420097,-0,-0.143526640597508,-0,-1.10667695448385,-0,-31.3061841230599,-0,0,0,0,0,0,-0.106959536145644,-0,-0.179405419419644,-0,-0.143526640594536,-0,-0.362235342471089,2.27373675443232e-13,-1.35772663878822,-0,0,0,0,0,0,ND,"ND"
RM04742,coa[m] + 3oddcoa[m]  <=> accoa[m] + dcacoa[m],0.0719150829627579,-0,0,0.073655615618399,0,0.100605049711746,-0,0,0.117943297313528,0,0,0.115463783776256,0,0.179405419420097,0,0.143526640597508,0,1.10667695448385,0,31.3061841230599,0,0,0,0,0,0,0.106959536145644,0,0.179405419419644,0,0.143526640594536,-2.27373675443232e-13,0.362235342471089,0,1.35772663878822,0,0,0,0,0,ND,"ND"
RM04754,etfox[m] + dcacoa[m]  <=> etfrd[m] + dc2coa[m],0.0790633407459218,0.00648135906670695,0,0.073655615618399,0,0.110605049711746,0.01,0,0.117943297313528,0,0,0.328989569506524,0,1.89526895714434,0,0.324581871741276,0,13.3957166992808,0,458.525098993895,0,0,0,0,0,0,0.15298468897076,-6.82121026329696e-13,1.89379349006997,0,0.324581871697424,-2.27373675443232e-13,5.26308771491676,0,22.2177965875529,0,0,0,0,0,ND,"ND"
RM04744,3hdcoa[m]  <=> h2o[m] + dc2coa[m],-0.0719150829627579,0,-0,-0.073655615618399,0,-0.100605049711746,0,-0,-0.117943297313528,0,-0.115463783776256,-0,-0.179405419420097,-0,-0.143526640597508,-0,-1.10667695448385,-0,-31.3061841230616,-0,0,0,0,0,0,-0.106959536145644,-0,-0.179405419419644,-0,-0.143526640594536,-0,-0.362235342471089,2.27373675443232e-13,-1.35772663878811,-0,0,0,0,0,0,ND,"ND"
RM04743,nadh[m] + h[m] + 3odcoa[m]  <=> nad[m] + 3hdcoa[m],-0.0719150829627579,0,-0,-0.073655615618399,0,-0.100605049711746,0,-0,-0.117943297313528,0,-0.115463783776256,-0,-0.179405419420097,-0,-0.143526640597508,-0,-1.10667695448385,-0,-31.3061841230616,-0,0,0,0,0,0,-0.106959536145644,-0,-0.179405419419644,-0,-0.143526640594536,-0,-0.362235342471089,2.27373675443232e-13,-1.35772663878811,-0,0,0,0,0,0,ND,"ND"
RM03778,coa[m] + 3odcoa[m]  <=> accoa[m] + occoa[m],0.0719150829627579,-0,0,0.073655615618399,0,0.100605049711746,-0,0,0.117943297313528,0,0,0.115463783776256,0,0.179405419420097,0,0.143526640597508,0,1.10667695448385,0,31.3061841230617,0,0,0,0,0,0,0.106959536145644,0,0.179405419419644,0,0.143526640594536,-2.27373675443232e-13,0.362235342471089,0,1.35772663878811,0,0,0,0,0,ND,"ND"
RM03777,etfox[m] + occoa[m]  <=> etfrd[m] + oc2coa[m],0.0942354949247511,0.0938244452318913,0.0794535534906056,0.0934742450667804,0.0618229710570022,0.131830017583727,0.144760449569663,0.14260224805518,0.149678481192613,0.0760898105316983,0.115205800027852,0.367135903431613,0.108833111475444,2.04531592720348,0.113224037312023,0.47304572412161,0.0116272412352645,13.4262588561718,0,458.874209314383,1,1,1,1,0,0.125737448440293,0.192483835397991,0.108833111475597,2.04225314065665,0.113224037315004,0.473039681124197,0.0703903507430456,5.28886724926429,0,22.2398968269333,1,1,1,1,0,ND,"ND"
RM04746,3hocoa[m]  <=> h2o[m] + oc2coa[m],-0.0942354949247511,-0.0938244452318913,-0.0794535534906056,-0.0872292428245079,-0.0618229710570022,-0.131830017583727,-0.144760449569663,-0.14260224805518,-0.139678481192613,-0.0760898105316983,-0.146563564629091,-0.115205800022892,-0.225385308901392,-0.108833111475368,-0.190581713283919,-0.113224037311911,-1.13721911139653,-0.011627241235411,-31.5681571195861,-0,1,1,1,1,0,-0.138951267023582,-0.125737448440029,-0.222653765531368,-0.108833111475638,-0.190581713280233,-0.113224037314966,-0.387187568841992,-0.0703903507434074,-1.4097016449424,-0,1,1,1,1,0,ND,"ND"
RM04745,nadh[m] + h[m] + 3oocoa[m]  <=> nad[m] + 3hocoa[m],-0.0942354949247511,-0.0938244452318913,-0.0794535534906056,-0.0872292428245079,-0.0618229710570022,-0.131830017583727,-0.144760449569663,-0.14260224805518,-0.139678481192613,-0.0760898105316983,-0.146563564629091,-0.115205800022892,-0.225385308901392,-0.108833111475368,-0.190581713283919,-0.113224037311911,-1.13721911139653,-0.011627241235411,-31.5681571195861,-0,1,1,1,1,0,-0.138951267023582,-0.125737448440029,-0.222653765531368,-0.108833111475638,-0.190581713280233,-0.113224037314966,-0.387187568841992,-0.0703903507434074,-1.4097016449424,-0,1,1,1,1,0,ND,"ND"
RM04747,coa[m] + 3oocoa[m]  <=> accoa[m] + hxcoa[m],0.0942354949247511,0.0938244452318913,0.0794535534906056,0.0872292428245079,0.0618229710570022,0.131830017583727,0.144760449569663,0.14260224805518,0.139678481192613,0.0760898105316983,0.115205800022892,0.146563564629091,0.108833111475368,0.225385308901392,0.113224037311911,0.190581713283919,0.011627241235411,1.13721911139653,0,31.568157119586,1,1,1,1,0,0.125737448440029,0.138951267023582,0.108833111475638,0.222653765531368,0.113224037314966,0.190581713280233,0.0703903507434074,0.387187568841992,0,1.4097016449424,1,1,1,1,0,ND,"ND"
RM04751,etfox[m] + hxcoa[m]  <=> etfrd[m] + hx2coa[m],0.0942354949247511,0.0938244452318913,0.0794535534906056,0.0872292428245079,0.0618229710570022,0.131830017583727,0.144760449569663,0.14260224805518,0.139678481192613,0.0760898105316983,0.11520580002416,0.367135903431567,0.108833111475444,2.04531592720345,0.113224037311894,0.47304572412332,0.0116272412354738,13.4262588561765,0,458.874209314383,1,1,1,1,0,0.125737448438726,0.192483835401388,0.108833111475533,2.04225314066273,0.113224037315043,0.473039681124078,0.0703903507469954,5.28886724926195,0,22.2398968269332,1,1,1,1,0,ND,"ND"
RM04749,3hhcoa[m]  <=> h2o[m] + hx2coa[m],-0.0942354949247511,-0.0938244452318913,-0.0794535534906056,-0.0872292428245079,-0.0618229710570022,-0.131830017583727,-0.144760449569663,-0.14260224805518,-0.139678481192613,-0.0760898105316983,-0.146563564629091,-0.115205800022892,-0.225385308901392,-0.108833111475368,-0.190581713283919,-0.113224037311911,-1.13721911139653,-0.011627241235411,-31.5681571195863,-0,1,1,1,1,0,-0.138951267023582,-0.125737448440029,-0.222653765531368,-0.108833111475638,-0.190581713280233,-0.113224037314966,-0.387187568841992,-0.0703903507434074,-1.4097016449424,-0,1,1,1,1,0,ND,"ND"
RM04748,nadh[m] + h[m] + 3ohcoa[m]  <=> nad[m] + 3hhcoa[m],-0.0942354949247511,-0.0938244452318913,-0.0794535534906056,-0.0872292428245079,-0.0618229710570022,-0.131830017583727,-0.144760449569663,-0.14260224805518,-0.139678481192613,-0.0760898105316983,-0.146563564629091,-0.115205800022892,-0.225385308901392,-0.108833111475368,-0.190581713283919,-0.113224037311911,-1.13721911139653,-0.011627241235411,-31.5681571195863,-0,1,1,1,1,0,-0.138951267023582,-0.125737448440029,-0.222653765531368,-0.108833111475638,-0.190581713280233,-0.113224037314966,-0.387187568841992,-0.0703903507434074,-1.4097016449424,-0,1,1,1,1,0,ND,"ND"
RM01177,coa[m] + 3ohcoa[m]  <=> accoa[m] + btcoa[m],0.0942354949247511,0.0938244452318913,0.0794535534906056,0.0872292428245079,0.0618229710570022,0.131830017583727,0.144760449569663,0.14260224805518,0.139678481192613,0.0760898105316983,0.115205800022892,0.146563564629091,0.108833111475368,0.225385308901392,0.113224037311911,0.190581713283919,0.011627241235411,1.13721911139653,0,31.5681571195862,1,1,1,1,0,0.125737448440029,0.138951267023582,0.108833111475638,0.222653765531368,0.113224037314966,0.190581713280233,0.0703903507434074,0.387187568841992,0,1.4097016449424,1,1,1,1,0,ND,"ND"
RM01175,etfox[m] + btcoa[m]  <=> etfrd[m] + b2coa[m],0.0942354949247512,0.0938244452318913,0.0794535534906056,0.0872292428245079,0.0618229710570022,0.131830017583727,0.144760449569663,0.14260224805518,0.139678481192613,0.0760898105316983,0.11520580002394,0.146563564629188,0.108833111475354,0.225385308900819,0.113224037312134,0.190581713283588,0.0116272412351903,1.13721911140017,0,31.5681571195862,1,1,1,1,0,0.125737448440029,0.138951267023463,0.108833111475516,0.222653765531329,0.113224037314938,0.190581713279764,0.0703903507430519,0.387187568831429,0,1.4097016449424,1,1,1,1,0,ND,"ND"
RM02488,h[m] + etfox[m] + glutcoa[m]  -> co2[m] + etfrd[m] + b2coa[m],0.049611933981,0.049611933981,0.0120528248557357,0.0264012706829,0.0305661934905898,0.069404231752595,0.0765455724183582,0.021632259909514,0.0422758385964853,0.0376199304499582,0.0393925066645342,0.0863807120117983,0,0.12962623846319,0,0.092906952388386,0,0.222425701627328,0,4.44772439643118,1,0,0,0,0,0.0631232155854686,0.0745937776242675,0,0.129544101455326,0,0.0929026239878177,0,0.12770845703827,0,0.304569154056182,1,0,0,0,0,ND,"ND"
RM01923,coa[m] + pmtcrn[m]  -> pmtcoa[m] + crn[m],0,0,0,0,0,0,0,0,0,0,0,0.00987392809737085,0,0.0648434185677867,0,0.0250282206939266,0,0.827495161523939,0,26.1503984315646,0,0,0,0,0,0,0.00213553632625461,0,0.064611294572749,0,0.0250282206907843,0,0.201625922217792,0,1.08484911301436,0,0,0,0,0,ND,"ND"
RC01923,crn[c] + pmtcoa[c]  -> coa[c] + pmtcrn[c],0,0,0,0,0,0,0,0,0,0,0,0.00987392809737085,0,0.0648434185677867,0,0.0250282206939266,0,0.827495161523939,0,26.1503984315646,0,0,0,0,0,0,0.00213553632625461,0,0.064611294572749,0,0.0250282206907843,0,0.201625922217792,0,1.08484911301436,0,0,0,0,0,ND,"ND"
RM06985,h[m] + nadph[m] + hx2coa[m]  -> nadp[m] + hxcoa[m],0,0,0,0,0,0,0,0,0,0,0,0.233798152857563,0,1.89330411171952,0,0.322530006846239,2.16493489801906e-14,13.2367692460182,0,456.919116397075,0,0,0,0,0,0,0.0586592970869209,0,1.89062599596345,0,0.322530006814294,0,5.12631746714308,0,22.1161307308079,0,0,0,0,0,ND,"ND"
RM03776,h[m] + nadph[m] + oc2coa[m]  -> nadp[m] + occoa[m],0,0,0,0.00624500224227247,0,0,0,0,0.01,0,0,0.233798152858322,0,1.89330411171934,0,0.322530006848664,0,13.2367692460215,0,456.919116397078,0,0,0,0,0,0,0.0586592970866642,0,1.89062599596328,0,0.322530006814368,0,5.12631746714301,0,22.1161307308081,0,0,0,0,0,ND,"ND"
RM04753,h[m] + nadph[m] + dc2coa[m]  -> nadp[m] + dcacoa[m],0.00714825778316392,0.00648135906670695,0,0,0,0.01,0.01,0,0,0,0,0.233798152857563,0,1.89330411171952,0,0.322530006850527,0,13.2367692460215,0,456.919116397076,0,0,0,0,0,0,0.0586592970860433,0,1.89062599597184,0,0.322530006814525,0,5.12631746714771,0,22.1161307308081,0,0,0,0,0,ND,"ND"
RM03856,h[m] + nadph[m] + dd2coa[m]  -> nadp[m] + ddcacoa[m],0,0,0,0,0,0,0,0,0,0,0,0.233798152858886,0,1.89330411171952,0,0.322530006850527,0,13.2367692460082,0,456.919116397077,0,0,0,0,0,0,0.0586592970869368,0,1.89062599596828,0,0.322530006814469,0,5.12631746714914,0,22.116130730808,0,0,0,0,0,ND,"ND"
RM03989,h[m] + nadph[m] + td2coa[m]  -> nadp[m] + tdcoa[m],0,0,0,0,0,0,0,0,0,0,0,0.233798152827504,0,1.89330411171942,0,0.322530006852188,0,13.2367692460081,0,456.919116397077,0,0,0,0,0,0,0.0586592970869368,0,1.89062599596829,0,0.322530006813926,0,5.12631746688511,0,22.1161307308081,0,0,0,0,0,ND,"ND"
RM01278,h[m] + nadph[m] + hdd2coa[m]  -> nadp[m] + pmtcoa[m],0,0,0.00557169010826963,0,0,0,0,0.01,0,0,0,0.233798152827386,0,1.89330411171934,0,0.322530006853071,0,13.2367692460036,0,456.919116397075,0,0,0,0,0,0,0.0586592970869368,0,1.89062599596828,0,0.322530006814142,0,5.12631746714235,0,22.116130730808,0,0,0,0,0,ND,"ND"
RCC0019,atp[c] + accoa[c] + hco3[c]  <=> adp[c] + h[c] + pi[c] + malcoa[c],0.549910844096008,0.524441269866968,0.450490683247391,0.52940528735016,0.455836740226689,0.769293526866359,0.809153241579972,0.808535066547873,0.847726336696265,0.561029834125179,0.734377967788741,0.878278126222992,0.73401441313751,1.2913810184377,0.744054020394787,1.26520085083426,0.699302044487215,19.4866560579842,0.369105056936746,545.062043900964,1,1,1,1,1,0.762378720463587,0.807461808496837,0.734014413136335,1.28980087247135,0.74405402039712,1.26513967657928,0.69930625808465,5.6265226283813,0.369105056936746,26.433690955384,1,1,1,1,1,ND,"ND"
RCC0020,20 h[c] + 14 nadph[c] + accoa[c] + 7 malcoa[c]  -> 6 h2o[c] + 7 co2[c] + 14 nadp[c] + 8 coa[c] + hdca[c],0.0323571750869096,0.0294585451649751,0.0196608333075595,0.0292683188263257,0.0158237196038694,0.0452658201039133,0.045451185255722,0.0352870187061884,0.0468667867374143,0.0194753472047632,0.0398822164909128,0.0558658300671971,0.0388028182957379,0.110358842326693,0.0306132553392687,0.0680282166259368,0.0304630100533806,0.875542876036033,0,26.1710167668863,1,1,1,1,0,0.0433833258413073,0.047956267390589,0.0393937832950196,0.110124182848621,0.0306132553394206,0.0680219729025741,0.0304630241095121,0.238664685394552,0,1.12389589750746,1,1,1,1,0,ND,"ND"
RM02085,h2o[m] + 3mgcoa[m]  <=> hmgcoa[m],0.0779215643262282,0.0779945990722622,0.0601345138658462,0.0758547356382677,0.00621313986405854,0.109007770410511,0.120336797066066,0.107928676393171,0.121464705208281,0.0076469413711493,0.0888595515491717,0.139329882396206,0.0581761824114983,0.182225009927734,0.0562958347356875,0.182610889671977,0.00999999999976353,0.296271467076625,0,3.8492739270439,1,1,1,1,0,0.103178369607876,0.11974803679596,0.0581761824130621,0.166100344824274,0.0562958347446727,0.182608205345692,0.00999999999987722,0.206387975115884,0,0.264749977708902,1,1,1,1,0,ND,"ND"
RM01939,akg[m] + L2aadp[m]  <=> glu-L[m] + 2oxoadp[m],0.02839731111305,0.02839731111305,0.0120528248557357,0.0264012706829,0.0305661934906057,0.0397261989906594,0.0438138217938264,0.021632259909514,0.0422758385964853,0.0376199304499778,0.0164128426574758,0.0549557817353435,0,0.0812221019718428,0.00999999999999091,0.0852151740265053,0.00999999999999091,0.207000753747648,0,2.69030934367356,1,0,1,1,0,0.0332641519465724,0.0438520963422794,0,0.0808216539990935,0.00999999999999091,0.0852109606598086,0.00999999999999091,0.117925468492553,0,0.185037368941153,1,0,1,1,0,ND,"ND"
RC00551,h2o[c] + arg-L[c]  -> orn[c] + urea[c],0.08348537327145,0.08348537327145,0.0854013247980301,0.08227668636345,0.0984246178758551,0.116791217949751,0.128808437261704,0.153277233906594,0.1317480493546,0.121137991231827,0.101089253635842,0.132204431979981,0.0406608487507909,0.176215318020872,0.0925451570063541,0.192143278073838,0,0.313872464732518,0,4.0565339996455,1,1,1,0,0,0.114802308294682,0.123455670214755,0.0412278226820454,0.166371338356503,0.0925451570122797,0.192120048427966,0,0.215641616142903,0,0.279916728704233,1,1,1,0,0,ND,"Model predicts forward flux. Leave-one-out analysis indicates no related metabolite constraints. Leave-one-in analysis indicates the following related metabolites: ala-L[c], amp[m], dag_pl[c], dlnlcgcoa[c], g3p[c], gdpmann[c], gtp[c], ivcoa[m], lgnccoa[c], malcoa[c], man6p[c], pmtcoa[c], q[m], qh2[m], stcoa[c]."
RM00471,4h2oglt[m]  <=> pyr[m] + glx[m],0,0,0,0,0,0,0,0,0,0,-999.749948537583,1000,-1000,1000,-1000,1000,-1000,1000,-1000,1000,0,0,0,0,0,-5.50539878085215,5.95604097164475,-19.0545111129168,19.5310427044065,-19.1028444842978,19.496292726849,-19.2284812632017,19.3386991619439,-49.9807152725267,50.4878099615405,0,0,0,0,0,ND,"ND"
