rxns,formula,normalized_OFD_exp_resp_simi,normalized_OFD_exp_resp,normalized_OFD_exp_simi,normalized_OFD_exp_only,normalized_OFD_no_data,OFD_exp_resp_simi,OFD_exp_resp,OFD_exp_simi,OFD_exp_only,OFD_no_data,FVA_PFD_exp_resp_simi_1,FVA_PFD_exp_resp_simi_2,FVA_PFD_exp_resp_1,FVA_PFD_exp_resp_2,FVA_PFD_exp_simi_1,FVA_PFD_exp_simi_2,FVA_PFD_exp_only_1,FVA_PFD_exp_only_2,FVA_PFD_no_data_1,FVA_PFD_no_data_2,PFD_bounded_exp_resp_simi,PFD_bounded_exp_resp,PFD_bounded_exp_simi,PFD_bounded_exp_only,PFD_bounded_no_data,FVA_OFD_exp_resp_simi_1,FVA_OFD_exp_resp_simi_2,FVA_OFD_exp_resp_1,FVA_OFD_exp_resp_2,FVA_OFD_exp_simi_1,FVA_OFD_exp_simi_2,FVA_OFD_exp_only_1,FVA_OFD_exp_only_2,FVA_OFD_no_data_1,FVA_OFD_no_data_2,OFD_bounded_exp_resp_simi,OFD_bounded_exp_resp,OFD_bounded_exp_simi,OFD_bounded_exp_only,OFD_bounded_no_data
RCC0171,0.006239 pcollg5hlys[c] + 0.072079 pcollg4hpro[c] + 0.921682 pcollg_rest[c]  -> pcollg_mod[c] ,0.4624308,0.4624308,0.244994563302237,0.465295350000001,0,0.54181488579353,0.806585757233105,0.280555324423249,0.507935111277551,0,0.256307164678049,0.620541404403605,0.256307164678049,1.23171247123537,0.0299999999998875,0.578174801742778,0.0299999999998022,0.754676688478491,0,29.1075333239636,1,1,1,1,0,0.256307164678049,0.586928730749064,0.256307164678049,0.871289307061648,0.0299999999999727,0.578172829718282,0.0299999999998875,0.647486412644726,0,0.98658665110999,1,1,1,1,0
RCC0172,pcollg_mod[c]  -> pcollg_diS[c] ,0.4624308,0.4624308,0.244994563302237,0.465295350000001,0,0.54181488579353,0.806585757233105,0.280555324423249,0.507935111277551,0,0.256307164678049,0.620541404403605,0.256307164678049,1.23171247123537,0.0299999999998875,0.578174801742778,0.0299999999998022,0.754676688478491,0,29.1075333239636,1,1,1,1,0,0.256307164678049,0.586928730749064,0.256307164678049,0.871289307061648,0.0299999999999727,0.578172829718282,0.0299999999998875,0.647486412644726,0,0.98658665110999,1,1,1,1,0
RCC0173,3 pcollg_diS[c]  -> pcollg_tri[c] ,0.1541436,0.1541436,0.0816648544340789,0.15509845,0,0.180604961931177,0.268861919077702,0.0935184414744162,0.169311703759184,0,0.0854357215593495,0.206847134801072,0.0854357215593495,0.410570823745109,0.00999999999996248,0.192724933914657,0.00999999999993406,0.251558896159497,0,9.70251110798787,1,1,1,1,0,0.0854357215593495,0.195642910249692,0.0854357215593495,0.290429769020506,0.00999999999999091,0.192724276572762,0.00999999999996248,0.215828804214914,0,0.328862217036663,1,1,1,1,0
RCC0174,pcollg_tri[c]  -> 0.99814 tropcollg_rest[c] + 0.00186 tropcollgtyr[c] ,0.1541436,0.1541436,0.0816648544340789,0.15509845,0,0.180604961931177,0.268861919077702,0.0935184414744162,0.169311703759184,0,0.0854357215593495,0.206847134801072,0.0854357215593495,0.410570823745109,0.00999999999996248,0.192724933914657,0.00999999999993406,0.251558896159497,0,9.70251110798787,1,1,1,1,0,0.0854357215593495,0.195642910249692,0.0854357215593495,0.290429769020506,0.00999999999999091,0.192724276572762,0.00999999999996248,0.215828804214914,0,0.328862217036663,1,1,1,1,0
RCC0175,h[c] + nadph[c] + o2[c] + 2 tropcollgtyr[c]  -> 2 h2o[c] + nadp[c] + 2 tropcollgtyrX[c] ,0.000143353548,0.000143353548,7.59483146236934e-05,0.0001442415585,0,0.000167962614595994,0.000250041584742263,8.69721505712071e-05,0.000157459884496041,0,7.94552210501951e-05,0.000192367835364998,7.94552210501951e-05,0.000381830866082856,9.29999999996511e-06,0.000179234188540552,9.29999999993868e-06,0.000233949773428332,0,0.00902333533042871,1,1,0,0,0,7.94552210501951e-05,0.000181947906532541,7.94552210501951e-05,0.000270099685189044,9.29999999999154e-06,0.00017923357721273,9.29999999996511e-06,0.00020072033621009,0,0.000305841861844097,1,1,0,0,0
RCC0176,0.99814 tropcollg_rest[c] + 0.00186 tropcollgtyrX[c]  -> collg[c] ,0.1541436,0.1541436,0.0816648544340789,0.15509845,0,0.180604961931177,0.268861919077702,0.0935184414744162,0.169311703759184,0,0.0854357215593495,0.206847134801072,0.0854357215593495,0.410570823745109,0.00999999999996248,0.192724933914657,0.00999999999993406,0.251558896159497,0,9.70251110798787,1,1,1,1,0,0.0854357215593495,0.195642910249692,0.0854357215593495,0.290429769020506,0.00999999999999091,0.192724276572762,0.00999999999996248,0.215828804214914,0,0.328862217036663,1,1,1,1,0
RCC0177,3 amet[c] + peplys[c]  -> 3 h[c] + 3 ahcys[c] + peptmelys[c] ,0,0,0,0,0,0,0,0,0,0,0,0.00753082431090565,0,0.0321666429365836,0,0.0217158548751165,0,0.145647946709393,0,5.23240266406843,0,0,0,0,0,0,0.00165290990859457,0,0.0321666429358196,0,0.021715854871593,0,0.0660201596381366,0,0.171490015203554,0,0,0,0,0
RC04313,h2o[c] + peptmelys[c]  -> pepX[c] + tmlys[c] ,0,0,0,0,0,0,0,0,0,0,0,0.00753082431090565,0,0.0321666429365836,0,0.0217158548751165,0,0.145647946709393,0,5.23240266406843,0,0,0,0,0,0,0.00165290990859457,0,0.0321666429358196,0,0.021715854871593,0,0.0660201596381366,0,0.171490015203554,0,0,0,0,0
RM03451,akg[m] + o2[m] + tmlys[m]  -> co2[m] + succ[m] + 3htmelys[m] ,0,0,0,0,0,0,0,0,0,0,0,0.00751182944832795,0,0.0316739372461305,0,0.00910323402750042,0,0.0174352036106558,0,5.54700632607003,0,0,0,0,0,0,0.0016486458717677,0,0.0316739372457884,0,0.00910323402633785,0,0.0174258214435107,0,0.180840573541129,0,0,0,0,0
RC03284,3htmelys[c]  -> gly[c] + 4tmeabut[c] ,0,0,0,0,0,0,0,0,0,0,0,0.00751182944832795,0,0.0316739372461305,0,0.00910323402750042,0,0.0174352036106558,0,5.54700632607003,0,0,0,0,0,0,0.0016486458717677,0,0.0316739372457884,0,0.00910323402633785,0,0.0174258214435107,0,0.180840573541129,0,0,0,0,0
